generator_id,nameplate_mw,default_test_mae_pct,tuned_test_mae_pct,delta_pct
ADELAIDE,59.94,12.91,12.62,-0.28
AMARANTH,199.5,7.88,7.65,-0.23
AMHERSTISLAND,75.0,12.61,12.52,-0.09
ARMOW,179.0,12.45,12.18,-0.27
BELLERIVER,100.0,10.89,10.74,-0.15
BLAKE,59.2,12.48,12.27,-0.21
BORNISH,72.9,13.27,13.0,-0.27
BOWLAKE,20.0,19.29,19.18,-0.11
BOWLAKE2,40.0,18.68,18.49,-0.18
CEDARPOINT2,100.0,13.6,13.12,-0.48
COMBER,165.6,9.38,9.29,-0.09
CRYSLER,99.76,14.18,13.75,-0.44
DILLON,78.0,9.56,9.47,-0.09
EASTLAKE,99.0,10.12,9.98,-0.15
ERIEAU,99.0,9.52,9.38,-0.14
GOSFIELDWGS,50.6,9.53,9.34,-0.18
GOSHEN,102.0,12.63,12.35,-0.28
GOULAIS,25.3,14.85,14.73,-0.13
GRANDVALLEY3,40.0,13.34,13.09,-0.25
GRANDWF,148.6,11.91,11.65,-0.26
GREENWICH,98.9,13.21,12.97,-0.24
HENVEYNORTH,117.0,13.04,12.77,-0.27
HENVEYSOUTH,183.0,12.76,12.5,-0.26
JERICHO,149.0,11.68,11.45,-0.23
K2WIND,269.96,13.08,12.61,-0.48
KINGSBRIDGE,39.6,9.78,9.75,-0.03
LANDON,39.98,13.89,13.74,-0.15
MCLEANSMTNWF-LT.AG_T1,60.0,14.04,13.84,-0.2
NORTHKENT,100.0,11.09,10.98,-0.1
PAROCHES,48.6,10.24,10.1,-0.14
PORTALMA-T1,101.2,10.48,10.43,-0.05
PORTALMA-T3,101.2,10.61,10.46,-0.15
PORTBURWELL,99.0,12.94,12.74,-0.2
PRINCEFARM,189.0,11.23,10.94,-0.29
RAILBEDWF-LT.AG_SR,270.0,10.86,10.72,-0.14
RIPLEYSOUTH,76.0,11.54,11.17,-0.37
ROMNEY,60.0,13.72,13.63,-0.08
SANDUSK-LT.AG_T1,104.4,13.08,12.93,-0.15
SHANNON,91.4,11.21,10.94,-0.27
SPENCE,98.9,11.32,11.18,-0.14
SUMMERHAVEN,124.38,10.82,10.64,-0.18
UNDERWOOD,181.5,9.76,9.52,-0.24
WESTLINCOLNNRWF,230.0,10.06,9.84,-0.23
WOLFEISLAND,197.8,9.58,9.47,-0.11
ZURICH,99.3,12.66,12.52,-0.13
